t,x,th1,th2,xd,th1d,th2d,u,KE,PE,E_total
2.575,0.6407278905756644,3.6593902676854237,0.8849542229205982,0.7164100566415357,1.507106007379461,-0.9508017223095605,0.0,1.2637611491464344,-12.888579232495621,-11.624818083349187
2.58,0.6442626810781492,3.6668441373583462,0.8800313984353934,0.6975136671164015,1.4743910453400442,-1.017713163613374,0.0,1.207586261852505,-12.832404344983498,-11.624818083130993
2.585,0.6477031093761876,3.674133686112951,0.8747831867709951,0.6786665219140613,1.441380814750501,-1.0809674755819547,0.0,1.1522274730723936,-12.77704555598632,-11.624818082913926
2.59,0.6510494411922104,3.681257484085651,0.869227709365936,0.6598762817030783,1.4080936816227538,-1.1406305281252782,0.0,1.097734331213406,-12.722552413913014,-11.624818082699608
2.595,0.6543019784873201,3.688214189916511,0.8633827556486056,0.6411497873426459,1.3745466931624963,-1.1967692284110647,0.0,1.0441548963462672,-12.668972978835688,-11.624818082489421
2.6,0.6574610554531138,3.6950025443322,0.8572657782407569,0.6224930962123748,1.340755648655739,-1.249451367856149,0.0,0.9915357490207253,-12.616353831305263,-11.624818082284538
2.605,0.6605270346846269,3.7016213640842004,0.8508938888836862,0.6039115182815835,1.306735170574278,-1.2987454858136973,0.0,0.9399220011380773,-12.564740083224,-11.624818082085923
2.61,0.6635003035324003,3.708069536241805,0.8442838550073414,0.5854096516487289,1.2724987752927894,-1.3447207484721853,0.0,0.8893573085672166,-12.514175390461574,-11.624818081894357
2.615,0.6663812706304431,3.7143460128366255,0.8374520968698898,0.5669914173260839,1.2380589428971414,-1.3874468415396282,0.0,0.8398838852091899,-12.464701966919657,-11.624818081710467
2.62,0.6691703625958408,3.7204498058529407,0.8304146852022591,0.5486600930856828,1.2034271856425323,-1.4269938753480413,0.0,0.7915425182343316,-12.416360599769046,-11.624818081534714
2.625,0.6718680208949336,3.7263799825561708,0.8231873392988281,0.5304183462198961,1.1686141146915825,-1.4634323010782664,0.0,0.7443725842355118,-12.369190665602957,-11.624818081367446
2.63,0.6744746988703418,3.732135661150096,0.8157854255017714,0.512268265103829,1.133629504826957,-1.496832836873819,0.0,0.6984120660607172,-12.323230147269598,-11.62481808120888
2.6350000000000002,0.6769908589226316,3.737716006752047,0.8082239560325442,0.49421138947714865,1.0984823568909277,-1.527266402683932,0.0,0.6536975701075498,-12.27851565116669,-11.624818081059141
2.64,0.6794169698400666,3.7431202276741917,0.8005175881296074,0.47624873939009715,1.063180957756008,-1.5548040627500783,0.0,0.610264343881358,-12.235082424799606,-11.624818080918248
2.645,0.6817535042696821,3.748347571998183,0.7926806234567294,0.4583808427824631,1.0277329376768598,-1.579516974726543,0.0,0.56814629363714,-12.192964374423294,-11.624818080786154
2.65,0.6840009363228096,3.753397324429783,0.7847270077510575,0.4406077616853846,0.9921453249146073,-1.6014763445035882,0.0,0.5273760019431961,-12.152194082605943,-11.624818080662747
2.6550000000000002,0.6861597393081827,3.7582688034196354,0.776670330684609,0.422929117054193,0.9564245975609267,-1.6207533858809777,0.0,0.4879847450214587,-12.112802825569304,-11.624818080547845
2.66,0.6882303835858311,3.762961358536061,0.768523825916894,0.40534411225629413,0.9205767325212726,-1.637419284319584,0.0,0.4500025097354534,-12.074820590176687,-11.624818080441234
2.665,0.6902133345351268,3.7674743680756415,0.7603003713200444,0.3878515552515073,0.8846072516447608,-1.6515451640789889,0.0,0.4134580101120022,-12.038276090454652,-11.62481808034265
2.67,0.692109050630563,3.7718072368973363,0.7520124893610804,0.3704498795135289,0.8485212650129386,-1.663202058128895,0.0,0.37837870329684975,-12.003196783548658,-11.624818080251808
2.6750000000000003,0.6939179816191122,3.77595939446601,0.7436723476288144,0.35313716375045207,0.8123235114212782,-1.6724608803012555,0.0,0.34479080485744085,-11.969608885025824,-11.624818080168383
2.68,0.6956405667933189,3.7799302930914513,0.7352917594953545,0.33591115048972364,0.7760183961060556,-1.6793923992277637,0.0,0.31271930335818254,-11.93753738345023,-11.624818080092048
2.685,0.6972772333546258,3.783719406349285,0.7268821849042656,0.31876926359873764,0.7396100257855931,-1.6840672136832116,0.0,0.28218797414448105,-11.907006054166937,-11.624818080022456
2.69,0.6988283948617992,3.7873262276705417,0.7184547312791502,0.3017086248166051,0.7031022410989219,-1.6865557290286526,0.0,0.25321939228192036,-11.878037472241175,-11.624818079959255
2.695,0.7002944497597032,3.7907502690871153,0.7100201545477689,0.28472606937566425,0.6664986465369608,-1.6869281345188278,0.0,0.22583494460592668,-11.850653024508013,-11.624818079902086
2.7,0.7016757799840749,3.7939910601208204,0.7015888602778284,0.26781816079314885,0.6298026379715284,-1.685254381305384,0.0,0.20005484084537883,-11.82487292069598,-11.624818079850602
2.705,0.7029727496383503,3.797048146804329,0.6931709049212447,0.2509812049142553,0.593017427896066,-1.6816041610305974,0.0,0.17589812379081593,-11.800716203595263,-11.624818079804447
2.71,0.7041857037390055,3.799921090822837,0.6847759971640703,0.23421126328777073,0.5561460684990059,-1.676046884965158,0.0,0.1533826784841512,-11.778200758247445,-11.624818079763294
2.715,0.705314967026273,3.802609468765947,0.6764134993793675,0.21750416595457456,0.5191914726964064,-1.6686516636976831,0.0,0.13252524041237912,-11.757343320139187,-11.624818079726808
2.72,0.7063608428374994,3.805112871479878,0.6680924291801447,0.20085552372781493,0.48215643325491614,-1.659487287432682,0.0,0.11334140269240223,-11.73815948238708,-11.624818079694677
2.725,0.7073236120407915,3.8074309035108014,0.6598214610690821,0.1842607400415052,0.44504364013942144,-1.648622206997384,0.0,0.09584562223819582,-11.720663701904801,-11.624818079666605
2.73,0.7082035320269827,3.8095631826307588,0.6516089281811697,0.16771502244178463,0.40785569622197776,-1.6361245156959667,0.0,0.08005122490486904,-11.704869304547174,-11.624818079642305
2.735,0.7090008357583121,3.8115093394383126,0.6434628241146039,0.1512133937922398,0.3705951314899164,-1.6220619321821177,0.0,0.06597040960690315,-11.690788489228423,-11.62481807962152
2.74,0.7097157308725573,3.8132690170267765,0.6353908048443706,0.13475070326157818,0.33326441589142997,-1.6065017845474399,0.0,0.05361425141014209,-11.678432331014147,-11.624818079604005
2.745,0.7103483988416986,3.8148418707135545,0.6274001907118947,0.11832163715866877,0.2958659709565578,-1.5895109958439695,0.0,0.04299270359878271,-11.667810783188322,-11.62481807958954
2.75,0.710898994184505,3.8162275678248068,0.6194979684830073,0.10192072967659144,0.25840218033038914,-1.5711560712740509,0.0,0.034114598719941824,-11.658932678297868,-11.624818079577926
2.755,0.7113676437327356,3.8174257875303454,0.6116907934652924,0.08554237360393949,0.2208753993535502,-1.551503087290137,0.0,0.026987648609315684,-11.6518057281783,-11.624818079568984
2.7600000000000002,0.7117544459509311,3.8184362207243296,0.6039849916746454,0.0691808310582615,0.18328796382271784,-1.5306176828509404,0.0,0.02161844340204766,-11.6464365229646,-11.624818079562552
2.765,0.7120594703100348,3.81925856994798,0.5963865620396486,0.05283024429326736,0.14564219806107292,-1.5085650530789831,0.0,0.01801244953330361,-11.6428305290918,-11.624818079558496
2.77,0.712282756715337,3.81989254935119,0.5889011786311568,0.0364846466283084,0.10794042242534593,-1.4854099455582805,0.0,0.016174006733173485,-11.640992086289883,-11.624818079556709
2.775,0.7124243149894673,3.820337884690518,0.5815341929033155,0.02013797354571836,0.07018496037248254,-1.4612166594999711,0.0,0.016106324020546126,-11.640924403577635,-11.62481807955709
2.7800000000000002,0.7124841244113833,3.820594313361661,0.5742906359311358,0.0037840739989050617,0.032378145205037935,-1.4360490479885515,0.0,0.01781147470046207,-11.642629554260028,-11.624818079559565
2.785,0.7124621333125116,3.820661584465093,0.5671752206287269,-0.012583278028355578,-0.005477673389741186,-1.409970523502369,0.0,0.02129039036929825,-11.64610846993338,-11.624818079564081
2.79,0.7123582587313931,3.8205394589041157,0.5601923439313803,-0.02897037167313039,-0.04338012289650148,-1.3830440668795816,0.0,0.026542853931973198,-11.65136093350258,-11.624818079570607
2.795,0.7121723861283726,3.8202277095151063,0.5533460889239001,-0.04538354701861256,-0.08132680151780769,-1.355332239875329,0.0,0.0335674916351838,-11.65838557121431,-11.624818079579127
2.8000000000000003,0.7119043691620496,3.8197261212302775,0.5466402268969194,-0.061829182558600385,-0.11931527160784679,-1.326897201427772,0.0,0.042361764120675716,-11.667179843710318,-11.624818079589643
2.805,0.7115540295293784,3.8190344912737517,0.5400782193124236,-0.07831368226753668,-0.15734305289651174,-1.2978007277203598,0.0,0.05292195650255671,-11.677740036104726,-11.62481807960217
2.81,0.711121156871474,3.818152629392234,0.5336632196593526,-0.09484346224340973,-0.19540761541097468,-1.2681042360955328,0.0,0.06524316747290904,-11.690061247089657,-11.624818079616748
2.815,0.7106055087473363,3.8170803581220185,0.5273980751799511,-0.11142493689145125,-0.2335063720061742,-1.2378688128414455,0.0,0.0793192974403798,-11.704137377073808,-11.624818079633428
2.82,0.710006810677871,3.815817513094497,0.5212853284475248,-0.12806450461691649,-0.27163667041982964,-1.2071552448384768,0.0,0.09514303570706595,-11.719961115359338,-11.624818079652272
2.825,0.7093247562627398,3.81436394338275,0.5153272187764083,-0.14476853299531264,-0.3097957847716266,-1.1760240550166006,0.0,0.11270584668993244,-11.73752392636329,-11.624818079673357
2.83,0.7085590073727318,3.812719511892189,0.5095256834452884,-0.16154334338828227,-0.3479809064300742,-1.1445355415383232,0.0,0.1319979551942918,-11.75681603489107,-11.624818079696778
2.835,0.7077091944205081,3.810884095798602,0.5038823587155468,-0.17839519497297354,-0.3861891341742022,-1.1127498205850754,0.0,0.15300833074836184,-11.777826410470992,-11.62481807972263
2.84,0.7067749167127338,3.8088575870372954,0.49839858062698505,-0.19533026815217627,-0.42441746358074633,-1.0807268725878,0.0,0.17572467100996114,-11.800542750760984,-11.624818079751023
2.845,0.7057557428867779,3.806639892847374,0.49307538555418867,-0.21235464731180811,-0.4626627755707593,-1.0485265917051096,0.0,0.2001333842587183,-11.824951464040803,-11.624818079782084
2.85,0.7046512114353267,3.804230936375524,0.48791351050786086,-0.22947430289154247,-0.50092182405271,-1.0162088383148644,0.0,0.226219570990013,-11.851037650805955,-11.624818079815942
2.855,0.7034608313224356,3.8016306573439635,0.4829133931667238,-0.2466950727335264,-0.5391912226021078,-0.9838334942473302,0.0,0.253967004630141,-11.878785084482876,-11.624818079852735
2.86,0.7021840826947161,3.798839012787523,0.4780751716270373,-0.26402264267329373,-0.5774674301205514,-0.9514605204502062,0.0,0.2833581113960353,-11.908176191288636,-11.6248180798926
2.865,0.7008204176915388,3.7958559778650947,0.473398683858429,-0.28146252633619295,-0.6157467354198958,-0.9191500167376825,0.0,0.31437394932722107,-11.939192029262912,-11.624818079935691
2.87,0.6993692613583186,3.7926815467509574,0.4688834668565665,-0.2990200441019815,-0.6540252406800117,-0.8869622832372002,0.0,0.34699418652265557,-11.971812266504822,-11.624818079982166
